company,domain,email,batch,status,reason,processed_at
Extremely Refined,extremelyrefined.com,extremelyrefined@gmail.com,batch1,skipped,bad_icp,2026-09-10 23:56:24
Taylor Upstate,taylorupstatestore.com,,batch1,skipped,no_volume_signal,2026-09-10 23:56:24
Kopani Coffee,kopanicoffee.com,,batch1,skipped,catalog_too_small,2026-09-10 23:56:24
Fulcrum Coffee,fulcrumcoffee.com,,batch1,skipped,no_volume_signal,2026-09-10 23:56:24
Jason Hyde,jasonhyde.com,info@jasonhyde.com,batch2,new,,2026-09-11 00:07:43
Ziba Collection,zibacollection.com,,batch2,skipped,catalog_too_small,2026-09-11 00:07:43
Prathaa,prathaa.in,,batch2,skipped,no_personal_email,2026-09-11 00:07:43
Open Your Closet,openyourcloset.net,s.paulin@openyourcloset.net,batch2,new,,2026-09-11 00:12:08
Goal Zero,goalzero.com,,batch2,skipped,no_personal_email,2026-09-11 00:15:38
WEEM,weemco.com,eli@weemco.com,batch2,new,,2026-09-11 00:19:28
Elegoo,us.elegoo.com,,batch2,skipped,unreachable,2026-09-11 00:19:28
Kanopi by Armstrong,kanopibyarmstrong.com,,batch2,skipped,too_large,2026-09-11 00:22:35
Zea,zea.com.au,,batch2,skipped,catchall,2026-09-11 00:25:43
Full Leaf Tea Company,fullleafteacompany.com,,batch2,skipped,no_personal_email,2026-09-11 00:31:40
